"","Sample","ton","schluff","sand","fT","mT","gT","fU","mU","gU","fS","mS","gS"
"1","KIE1_Ah_0-15cm",2.8171,27.5575,69.6282,0,0.0673,2.7498,5.9243,12.4668,9.1664,20.8135,38.8566,9.9581
"2","KIE1_fAh_28-45cm",3.8013,17.3305,78.8723,0.4603,2.4983,0.8427,4.1491,8.0616,5.1198,13.3561,43.8718,21.6444
"3","KIE1_fAh-Sg_55-65cm",10.5249,32.9883,56.4908,3.8987,3.1167,3.5095,10.1066,15.4816,7.4001,16.4893,35.7439,4.2576
"4","KIE1_lC_100-120cm",14.0998,35.9199,49.9827,4.894,7.6429,1.5629,10.3764,18.3502,7.1933,18.1982,26.784,5.0005
"5","KIE1_M_15-28cm",2.6052,23.9006,73.4972,0,0.0223,2.5829,6.1455,10.2332,7.5219,22.4422,37.9231,13.1319
"6","KIE1_Sg_65-80cm",2.2337,22.5712,75.1992,0,0,2.2337,4.7732,10.0785,7.7195,19.4137,41.7568,14.0287
"7","KIE2_Ah_10cm",1.7317,18.2183,80.0521,0,0,1.7317,4.0812,7.6725,6.4646,16.9367,41.3905,21.7249
"8","KIE2_Ah-Bv_15-20cm",2.3586,14.8377,82.8076,0,0.7807,1.5779,3.2748,6.5959,4.967,11.496,47.4494,23.8622
"9","KIE2_Al+Bt_65-75cm",4.1658,23.6634,72.1738,0,2.0452,2.1206,5.8347,10.9933,6.8354,22.573,40.4298,9.171
"10","KIE2_Bt_75-85cm",0.0862,1.9963,97.9196,0,0,0.0862,0.9747,1.0216,0,8.5011,77.2006,12.2179
"11","KIE2_Bt-Sd_85-110cm",8.0213,19.6641,72.319,0.154,5.275,2.5923,5.2157,9.1394,5.309,12.8516,40.415,19.0524
"12","KIE2_BV_30-40cm",3.5298,41.6774,54.7959,0,0.8127,2.7171,8.0222,18.1724,15.4828,13.9117,36.7671,4.1171
"13","KIE2_BvAl_55-85cm",8.7266,36.001,55.2763,2.2438,2.9716,3.5112,10.5524,16.353,9.0956,15.327,30.9951,8.9542
"14","KIE3_Ah_0-8cm",1.6832,21.6379,76.6808,0,0,1.6832,4.5369,9.3139,7.7871,22.8414,41.1249,12.7145
"15","KIE3_Al_8-16cm",2.1886,52.6646,45.1498,0,0,2.1886,3.8182,11.037,37.8094,42.1697,2.9801,0
"16","KIE3_elCv_70-100cm",1.7677,16.3211,81.9137,0,0.0102,1.7575,3.9602,7.0294,5.3315,15.1606,42.5271,24.226
"17","KIE3_Mergellinse_14-80cm",4.3076,23.9758,71.7196,0,2.2319,2.0757,5.851,11.177,6.9478,21.4728,39.2679,10.9789
"18","KIE3_Schluff_120cm",4.4543,37.7072,57.8421,0.1355,1.4098,2.909,8.6175,16.3406,12.7491,15.6518,38.4945,3.6958
"19","KIE3_Sd-Bt_15-50cm",3.9164,28.1757,67.9106,0,1.6163,2.3001,6.2873,13.1536,8.7348,18.6663,37.8306,11.4137
"20","KIE4_Ah_0-5cm",2.6396,45.6897,51.6745,0,0,2.6396,6.6387,17.2782,21.7728,22.231,26.058,3.3855
"21","KIE4_Al_5-10cm",1.1983,12.1695,86.6344,0,0.041,1.1573,3.0815,5.1167,3.9713,15.5399,42.2302,28.8643
"22","KIE4_Bv_10-40cm",1.8276,18.678,79.4975,0,0,1.8276,5.2586,8.3313,5.0881,23.0674,44.0775,12.3526
"23","KIE4_Bv_100-110cm",7.6323,23.553,68.8178,0.1382,4.6355,2.8586,6.9846,11.4762,5.0922,16.9715,42.6434,9.2029
"24","KIE4_Bv_40-72cm",2.5708,29.4709,67.9605,0,0,2.5708,6.9447,13.3033,9.2229,17.7295,39.494,10.737
"25","KIE4_Bv2_72-100cm",2.2633,12.5078,85.2315,0,1.3096,0.9537,3.1606,5.7721,3.5751,9.1232,46.5686,29.5397
"26","KIE5_Ah_0-20cm",0.3126,3.7773,95.9125,0,0,0.3126,0.9576,1.3545,1.4652,24.5133,69.1539,2.2453
"27","KIE5_Ah-Bv-Al_20-35cm",1.3768,14.9309,83.6941,0,0,1.3768,2.8441,6.536,5.5508,12.0031,43.0208,28.6702
"28","KIE5_Sd-Bt_45-100cm",3.1313,36.0317,60.8391,0,0.557,2.5743,7.8827,14.7102,13.4388,15.8039,35.1418,9.8934
"29","KIE5_Sw-Al_35-45cm",12.5068,34.7459,52.7501,4.4295,5.9852,2.0921,10.6989,16.6325,7.4145,16.1892,28.5173,8.0436
"30","KIE6_Ah_0-10cm",1.5721,21.2963,77.1347,0,0,1.5721,4.3561,8.8986,8.0416,16.5824,42.3548,18.1975
"31","KIE6_Ah-Bv_10-18cm",5.5315,23.7137,70.7585,0.3075,3.1496,2.0744,6.1585,10.4968,7.0584,17.5547,40.618,12.5858
"32","KIE6_Bv_18-70cm",3.6925,25.6313,70.6793,0.0118,1.1292,2.5515,6.1012,10.8531,8.677,24.0499,38.5281,8.1013
"33","KIE6_ICv_70-100cm",2.0847,21.3104,76.6085,0,0,2.0847,4.9913,9.4146,6.9045,23.2481,39.9307,13.4297
