"","Group.1","0.011 µm","0.013 µm","0.015 µm","0.017 µm","0.02 µm","0.023 µm","0.026 µm","0.03 µm","0.034 µm","0.039 µm","0.044 µm","0.051 µm","0.058 µm","0.067 µm","0.076 µm","0.087 µm","0.1 µm","0.115 µm","0.131 µm","0.15 µm","0.172 µm","0.197 µm","0.226 µm","0.259 µm","0.296 µm","0.339 µm","0.389 µm","0.445 µm","0.51 µm","0.584 µm","0.669 µm","0.766 µm","0.877 µm","1.005 µm","1.151 µm","1.318 µm","1.51 µm","1.729 µm","1.981 µm","2.269 µm","2.599 µm","2.976 µm","3.409 µm","3.905 µm","4.472 µm","5.122 µm","5.867 µm","6.72 µm","7.697 µm","8.816 µm","10.097 µm","11.565 µm","13.246 µm","15.172 µm","17.377 µm","19.904 µm","22.797 µm","26.111 µm","29.907 µm","34.255 µm","39.234 µm","44.938 µm","51.471 µm","58.953 µm","67.523 µm","77.34 µm","88.583 µm","101.46 µm","116.21 µm","133.103 µm","152.453 µm","174.616 µm","200 µm","229.075 µm","262.376 µm","300.518 µm","344.206 µm","394.244 µm","451.556 µm","517.2 µm","592.387 µm","678.504 µm","777.141 µm","890.116 µm","1019.515 µm","1167.725 µm","1337.481 µm","1531.914 µm","1754.613 µm","2009.687 µm","2301.841 µm","2500 µm"
"1","KIE1_Ah_0-15cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669,0.0931,0.1108,0.1344,0.1366,0.1328,0.1381,0.1485,0.1554,0.1721,0.2026,0.2595,0.3304,0.4085,0.483,0.5571,0.635,0.7173,0.8055,0.9033,1.0159,1.1484,1.306,1.4908,1.6988,1.9189,2.1305,2.2731,2.2252,2.0956,1.9684,1.915,1.9469,2.022,2.0925,2.1217,2.0849,1.9859,1.8558,1.721,1.599,1.4968,1.3818,1.2858,1.2169,1.1622,1.2784,1.5607,1.98,2.5491,3.2492,4.0254,4.8212,5.528,5.873,5.5347,4.5012,3.2344,2.0718,1.1722,0.6168,0.1881,0.0682,0,0,0,0,0,0
"2","KIE1_fAh_28-45cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1143,0.1748,0.2346,0.2877,0.3508,0.4099,0.4549,0.4861,0.5071,0.5239,0.5431,0.57,0.6089,0.6621,0.7295,0.8083,0.8934,0.9765,1.0515,1.1081,1.1324,1.1198,1.0791,1.0271,0.9803,0.9495,0.939,0.9546,1.0011,1.0606,1.1294,1.2066,1.2644,1.3197,1.3847,1.4747,1.7113,2.1221,2.695,3.4039,4.1404,4.7631,5.2182,5.5646,5.8253,5.9099,5.6792,5.2541,4.6738,3.9409,3.2062,2.4962,1.8875,1.1289,0.6272,0.2368,0,0,0
"3","KIE1_fAh-Sg_55-65cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1124,0.1927,0.2894,0.3819,0.4621,0.5573,0.6438,0.7071,0.7476,0.7726,0.7922,0.8178,0.8586,0.9236,1.0192,1.1502,1.3171,1.5168,1.7369,1.9642,2.1882,2.3719,2.49,2.5429,2.5555,2.5609,2.5842,2.6357,2.7209,2.836,2.9223,2.9573,2.9285,2.8044,2.6012,2.3523,2.1139,2.064,2.1837,2.4238,2.7592,3.118,3.4053,3.5718,3.6368,3.5902,3.363,2.9303,2.4426,1.6372,1.0003,0.5558,0.1922,0,0,0,0,0,0,0
"4","KIE1_lC_100-120cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862,0.1158,0.1202,0.1214,0.1213,0.1212,0.1221,0.1244,0.1283,0.1325,0.1364,0.139,0.1391,0.1367,0.1304,0.1202,0.0771,0.0102,0,0,0,0,0,0,0,0,0.0752,0.1355,0.1875,0.2741,0.4144,0.6798,1.175,2.052,3.5076,5.6289,8.1629,10.5425,12.1769,12.5993,11.6037,9.447,7.0394,4.8887,3.1564,1.9575,1.1883,0.6602,0.3668,0,0,0,0,0
"5","KIE1_M_15-28cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1286,0.1904,0.2757,0.3652,0.4485,0.5381,0.6243,0.6966,0.7531,0.7971,0.8349,0.8748,0.9242,0.9899,1.0741,1.1772,1.2926,1.4105,1.5161,1.6009,1.6482,1.6375,1.5666,1.4537,1.3277,1.2147,1.1289,1.0747,1.0572,1.0847,1.1337,1.2013,1.2861,1.3537,1.4271,1.5136,1.617,1.8687,2.2861,2.8478,3.5294,4.2283,4.8011,5.1855,5.4201,5.4915,5.3216,4.8422,4.2037,3.4674,2.681,1.9957,1.3871,0.7707,0.4009,0.0342,0,0,0,0
"6","KIE1_Sg_65-80cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129,0.1559,0.2574,0.3492,0.337,0.2822,0.2217,0.1773,0.154,0.15,0.1641,0.2099,0.269,0.3326,0.3905,0.4527,0.5204,0.591,0.6627,0.7355,0.8115,0.8936,0.9851,1.0875,1.1998,1.3162,1.4279,1.5212,1.5877,1.6141,1.5874,1.5076,1.3917,1.2643,1.1485,1.0586,1.0001,0.981,1.016,1.0833,1.183,1.3126,1.4397,1.587,1.7395,1.8655,2.1012,2.439,2.8505,3.3313,3.8366,4.2984,4.6946,5.0457,5.2909,5.2888,4.9431,4.4325,3.7894,2.9544,2.0748,1.3207,0.7803,0.4336,0.0605,0,0,0,0
"7","KIE2_Ah_10cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1192,0.186,0.2514,0.3086,0.3772,0.4408,0.4873,0.5164,0.5341,0.5468,0.5621,0.5865,0.6247,0.679,0.75,0.835,0.9281,1.0199,1.1049,1.1704,1.1982,1.1809,1.1265,1.0527,0.9789,0.9189,0.881,0.8776,0.9265,1.0124,1.1391,1.3086,1.4911,1.716,1.9732,2.228,2.6315,3.1825,3.8233,4.4872,5.0433,5.3648,5.4533,5.4271,5.3592,5.2075,4.8653,4.4044,3.805,3.058,2.3177,1.6443,1.0695,0.5942,0.2258,0,0,0,0
"8","KIE2_Ah-Bv_15-20cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1147,0.1664,0.2343,0.302,0.3617,0.4242,0.4814,0.5264,0.559,0.5823,0.6018,0.6238,0.6532,0.6945,0.7503,0.8198,0.8995,0.983,1.0609,1.127,1.1692,1.1716,1.1297,1.0539,0.9638,0.879,0.8121,0.7702,0.7632,0.8082,0.8911,1.0169,1.1906,1.3861,1.6381,1.9404,2.2538,2.7263,3.3461,4.0413,4.7254,5.246,5.4706,5.4262,5.2702,5.094,4.8648,4.4931,4.0658,3.5917,3.0562,2.5474,1.9903,1.2259,0.681,0.3007,0.0365,0,0,0
"9","KIE2_Al+Bt_65-75cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0.0147,0.0177,0.0811,0.1707,0.2222,0.2281,0.2103,0.1844,0.1648,0.1577,0.1661,0.1916,0.2462,0.3114,0.3774,0.4378,0.4985,0.5599,0.6189,0.6748,0.7285,0.7834,0.8425,0.9089,0.9843,1.0672,1.1527,1.2327,1.2887,1.3072,1.2926,1.2448,1.1732,1.094,1.0236,0.9737,0.9504,0.9569,1.0019,1.1028,1.2435,1.4242,1.641,1.8647,2.1033,2.3137,2.4538,2.7371,3.1494,3.6322,4.1547,4.6328,4.9725,5.168,5.2792,5.2716,5.0217,4.4527,3.7296,2.9337,2.1247,1.4437,0.9143,0.4832,0.2017,0,0,0,0,0
"10","KIE2_Bt_75-85cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1486,0.2626,0.4052,0.4878,0.4088,0.3025,0.2164,0.1629,0.1368,0.1314,0.143,0.1848,0.2404,0.3013,0.357,0.4181,0.485,0.5543,0.6238,0.6923,0.7613,0.8327,0.9093,0.9923,1.0804,1.1691,1.2496,1.313,1.3534,1.3583,1.3157,1.2275,1.11,0.9876,0.881,0.8029,0.7592,0.7573,0.8124,0.9061,1.0413,1.2185,1.4125,1.6455,1.8986,2.13,2.4949,2.9854,3.5486,4.1388,4.6563,5.0027,5.1817,5.2715,5.271,5.0943,4.661,4.1294,3.5205,2.7771,2.028,1.3808,0.7924,0.4403,0.0398,0,0,0,0
"11","KIE2_Bt-Sd_85-110cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1329,0.2333,0.3608,0.4405,0.3786,0.2879,0.2112,0.1627,0.1392,0.1352,0.1482,0.1913,0.2469,0.3081,0.3642,0.4248,0.4906,0.5584,0.6257,0.6918,0.7581,0.8271,0.9012,0.9818,1.0678,1.1542,1.2326,1.2931,1.3311,1.334,1.2906,1.203,1.0869,0.9662,0.8617,0.7857,0.7433,0.7434,0.8005,0.8972,1.0374,1.2229,1.4292,1.68,1.9583,2.2209,2.6328,3.1822,3.806,4.4407,4.9705,5.2908,5.4129,5.4307,5.3703,5.172,4.7116,4.071,3.2813,2.4089,1.642,1.0232,0.5842,0.2003,0.0311,0,0,0,0
"12","KIE2_BV_30-40cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0.0117,0.0127,0.0143,0.1402,0.2019,0.2843,0.3681,0.4435,0.5225,0.5954,0.654,0.6964,0.7262,0.7493,0.7728,0.8029,0.8444,0.8995,0.967,1.0421,1.117,1.1813,1.2286,1.2474,1.224,1.1587,1.0671,0.972,0.8926,0.8404,0.8205,0.8421,0.9206,1.0379,1.1958,1.3928,1.6018,1.8381,2.0771,2.2789,2.6003,3.0391,3.5446,4.0695,4.5154,4.7888,4.8972,4.9368,4.9506,4.8934,4.6526,4.2883,3.7784,3.1036,2.4013,1.7356,1.1629,0.6461,0.304,0,0,0,0
"13","KIE2_BvAl_55-85cm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1311,0.1988,0.2698,0.336,0.4102,0.4817,0.5402,0.5839,0.6155,0.6404,0.6651,0.6951,0.7345,0.7839,0.8413,0.9007,0.9541,0.9935,1.0147,1.0058,0.959,0.8792,0.783,0.6901,0.6147,0.5637,0.54,0.5495,0.6048,0.6957,0.8296,1.0132,1.2303,1.5112,1.8476,2.1977,2.7137,3.3959,4.1792,4.9786,5.624,5.9595,6.0033,5.9113,5.7504,5.4684,4.9748,4.3858,3.7258,2.998,2.3301,1.6986,0.9438,0.5244,0.1319,0,0,0,0
